title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Post Office,Charles Bukowski,'B000SEGDNG,000,Invalid Length (not 10 or 13 after cleaning)
"Red, White & Royal Blue",Casey McQuiston (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Bully,Penelope Douglas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Trouble on Main Street,Kirsten Fullmer (Goodreads Author),'B086CDYMTP,086,Invalid Length (not 10 or 13 after cleaning)
Americanah,"Chimamanda Ngozi Adichie, Jashar Awan (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Sliding on the Snow Stone,Andy Szpuk (Goodreads Author),'B00KNOQFJS,00,Invalid Length (not 10 or 13 after cleaning)
Beg For Mercy,Lucian Bane (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
This Man,"Jodi Ellen Malpas (Goodreads Author), Andrea Fischer (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
When Breath Becomes Air,Paul Kalanithi,'B00XSSYR50,0050,Invalid Length (not 10 or 13 after cleaning)
L'Écume des jours,Boris Vian,,,Invalid Length (not 10 or 13 after cleaning)
My Name Is Red,"Orhan Pamuk, Erdağ M. Göknar (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
World After,Susan Ee (Goodreads Author),'B00DBE1P2Y,0012,Invalid Length (not 10 or 13 after cleaning)
Noble House,James Clavell,,,Invalid Length (not 10 or 13 after cleaning)
The Ultimate Religion,Gillian Dance (Goodreads Author),'B07RBY9422,079422,Invalid Length (not 10 or 13 after cleaning)
Reason to Breathe,Rebecca Donovan (Goodreads Author),'B00505AZRS,00505,Invalid Length (not 10 or 13 after cleaning)
Wool Omnibus,Hugh Howey (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
After Forever Ends,Melodie Ramone (Goodreads Author),'B009ODTG86,00986,Invalid Length (not 10 or 13 after cleaning)
The Diviners,Libba Bray (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Thud!,Terry Pratchett,,,Invalid Length (not 10 or 13 after cleaning)
"Drum Beats, Heart Beats (Dancing Soul Trilogy, #3)",Maria Nhambu (Goodreads Author),'B07GNSYBVV,07,Invalid Length (not 10 or 13 after cleaning)
Brownout - 666: or the Real Meaning of the Swastika,John Richard Spencer (Goodreads Author),'B07GGYBJY1,071,Invalid Length (not 10 or 13 after cleaning)
The Kiss of Deception,Mary E. Pearson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Candidate and other stories,Samuel R. George,'B07NGVDD77,0777,Invalid Length (not 10 or 13 after cleaning)
The Egyptian,Mika Waltari,'B00OQTE64C,0064,Invalid Length (not 10 or 13 after cleaning)
The Daughter of Time,Josephine Tey,,,Invalid Length (not 10 or 13 after cleaning)
